Date,Activity_Scale
1992-09-02,1
1992-10-30,1
1992-10-30,1
1992-10-30,1
1992-11-19,1
1992-11-19,1
1992-12-08,1
1992-12-08,1
1993-01-04,1
1993-01-04,1
1993-01-14,1
1993-01-15,1
1993-01-15,1
1993-01-21,1
1993-01-21,1
1993-01-21,1
1993-01-21,1
1993-01-21,1
1993-02-16,1
1993-02-16,1
1993-02-23,1
1993-02-23,1
1993-02-23,1
1993-02-25,1
1993-02-25,1
1993-02-25,1
1993-03-09,1
1993-03-15,1
1993-05-18,1
1993-05-18,1
1993-05-18,1
1993-05-18,1
1993-05-18,1
1993-07-01,1
1993-07-18,1
1993-07-18,1
1993-07-30,1
1993-07-30,1
1993-07-30,1
1993-10-19,1
1993-10-22,1
1993-10-22,1
1993-10-22,1
1993-10-27,1
1993-11-03,1
1993-11-23,1
1993-12-02,1
1994-01-14,1
1994-01-15,1
1994-01-19,1
1994-01-29,1
1994-02-23,1
1994-04-23,1
1994-06-28,1
1995-09-12,1
1996-05-06,1
1996-05-20,1
1997-01-02,1
1997-07-07,1
1997-11-07,1
1998-01-09,1
1998-03-10,1
1998-03-20,1
1998-03-25,1
1998-03-27,1
1998-03-28,1
1998-03-30,1
1998-03-31,1
1998-03-31,1
1998-03-31,1
1998-04-03,1
1998-04-08,1
1998-04-19,1
1998-04-25,1
1998-08-21,1
1998-08-22,1
1998-08-31,1
1998-08-31,1
1998-08-31,1
1998-09-02,1
1998-09-15,1
1998-09-29,1
1998-10-05,1
1998-10-24,1
1998-10-31,1
1998-10-31,1
1998-10-31,1
1998-11-01,1
1998-11-01,1
1998-11-01,1
1998-11-02,1
1998-11-02,1
1998-11-02,1
1998-11-07,1
1998-11-07,1
1998-11-10,1
1998-12-01,1
1998-12-03,1
1998-12-03,1
1998-12-03,1
1999-01-06,1
1999-01-07,1
1999-01-08,1
1999-01-13,1
1999-01-13,1
1999-01-13,1
1999-01-16,1
1999-01-17,1
1999-02-03,1
1999-02-04,1
1999-02-12,1
1999-02-12,1
1999-03-13,1
1999-03-13,1
1999-04-17,1
1999-04-17,1
1999-04-17,1
1999-04-17,1
1999-04-19,1
1999-04-19,1
1999-04-19,1
1999-04-26,1
1999-04-30,1
1999-05-10,1
1999-05-10,1
1999-06-30,1
1999-07-23,1
1999-07-24,1
1999-07-25,1
1999-11-05,1
1999-11-23,1
2000-02-02,1
2000-03-07,1
2000-03-07,1
2000-03-08,1
2000-03-08,1
2000-03-08,1
2000-03-10,1
2000-03-10,1
2000-03-11,1
2000-03-14,1
2000-04-11,1
2000-04-14,1
2000-04-18,1
2000-04-19,1
2000-04-23,1
2000-04-23,1
2000-04-26,1
2000-04-28,1
2000-04-29,1
2000-05-02,1
2000-05-08,1
2000-05-10,1
2000-05-15,1
2000-05-16,1
2000-05-17,1
2000-05-17,1
2000-05-22,1
2000-05-24,1
2000-05-26,1
2000-05-28,1
2000-05-31,1
2000-06-08,1
2000-06-17,1
2000-06-19,1
2000-06-26,1
2000-07-03,1
2000-07-07,1
2000-07-11,1
2000-07-11,1
2000-07-12,1
2000-07-18,1
2000-07-22,1
2000-07-26,1
2000-07-26,1
2000-07-27,1
2000-07-27,1
2000-07-31,1
2000-07-31,1
2000-08-01,1
2000-08-02,1
2000-08-07,1
2000-08-08,1
2000-08-15,1
2000-08-24,1
2000-08-31,1
2000-09-02,1
2000-09-04,1
2000-09-04,1
2000-09-08,1
2000-09-11,1
2000-09-13,0
2000-09-19,0
2000-09-19,0
2000-09-20,0
2000-09-24,0
2000-11-02,0
2000-11-09,0
2000-11-09,0
2000-11-14,0
2000-11-16,0
2000-11-20,0
2000-11-20,0
2000-11-20,0
2000-12-08,0
2000-12-15,0
2001-02-21,1
2001-03-02,1
2001-03-24,1
2001-04-15,0
2001-11-05,1
2001-12-04,0
2001-12-18,0
2002-01-30,0
2002-02-12,0
2002-07-11,0
2002-08-15,0
2002-12-06,1
2003-01-01,0
2003-02-03,0
2003-02-12,0
2003-02-21,0
2003-02-21,0
2003-03-12,0
2003-04-08,0
2012-08-04,2
2013-08-19,1
2013-10-03,1
2013-10-08,1
2013-10-11,2
2016-04-27,2
2016-09-13,1
2019-12-09,3
2024-05-24,1
2024-05-25,1
